,Plot_Specification,Construction Status,Total Area,Price per Sq ft,Location,city,Builder,BHK,price(in_lakhs)
653,Apartment,Ready to move,1182 ,"3,296 / sq ft",Sarjapur,Bangalore,Inner Urban Infraestate P Ltd,2,38.96
654,Apartment,Ready to move,1398 ,"3,250 / sq ft",Sarjapur,Bangalore,Inner Urban Infraestate P Ltd,3,45.44
655,Apartment,Ready to move,1398 ,"3,250 / sq ft",Sarjapur,Bangalore,Inner Urban Infraestate P Ltd,3,45.44
656,Apartment,Ready to move,1467 ,"3,238 / sq ft",Sarjapur,Bangalore,Inner Urban Infraestate P Ltd,3,47.51
657,Apartment,Ready to move,1467 ,"3,238 / sq ft",Sarjapur,Bangalore,Inner Urban Infraestate P Ltd,3,47.51
658,Apartment,Ready to move,1068 ,"3,327 / sq ft",Sarjapur,Bangalore,Inner Urban Infraestate P Ltd,2,35.54
659,Apartment,Ready to move,1068 ,"3,327 / sq ft",Sarjapur,Bangalore,Inner Urban Infraestate P Ltd,2,35.54
660,Apartment,Ready to move,1399 ,"3,250 / sq ft",Sarjapur,Bangalore,Inner Urban Infraestate P Ltd,3,45.47
661,Apartment,Ready to move,1399 ,"3,250 / sq ft",Sarjapur,Bangalore,Inner Urban Infraestate P Ltd,3,45.47
662,Apartment,Under Construction,703 ,"8,391 / sq ft",Bagalur,Bangalore,Godrej Properties Ltd,3,58.98
663,Apartment,Under Construction,595 ,"7,225 / sq ft",Bagalur,Bangalore,Godrej Properties Ltd,2,42.98
664,Apartment,Under Construction,595 ,"7,225 / sq ft",Bagalur,Bangalore,Godrej Properties Ltd,2,42.98
665,Apartment,Under Construction,702 ,"8,272 / sq ft",Bagalur,Bangalore,Godrej Properties Ltd,3,57.98
666,Apartment,Under Construction,702 ,"8,272 / sq ft",Bagalur,Bangalore,Godrej Properties Ltd,3,57.98
667,Apartment,Under Construction,1235 ,"5,565 / sq ft",Krishnarajapura,Bangalore,Sree Sai Builders,2,68.72
668,Apartment,Under Construction,1232 ,"5,565 / sq ft",Krishnarajapura,Bangalore,Sree Sai Builders,2,68.56
669,Apartment,Under Construction,1210 ,"5,565 / sq ft",Krishnarajapura,Bangalore,Sree Sai Builders,2,67.33
670,Apartment,Under Construction,1275 ,"5,565 / sq ft",Krishnarajapura,Bangalore,Sree Sai Builders,3,70.95
671,Apartment,Under Construction,1280 ,"5,565 / sq ft",Krishnarajapura,Bangalore,Sree Sai Builders,2,71.23
672,Apartment,Under Construction,1215 ,"5,565 / sq ft",Krishnarajapura,Bangalore,Sree Sai Builders,2,67.61
673,Apartment,Under Construction,1390 ,"5,565 / sq ft",Krishnarajapura,Bangalore,Sree Sai Builders,3,77.35
674,Apartment,Under Construction,1585 ,"5,565 / sq ft",Krishnarajapura,Bangalore,Sree Sai Builders,3,88.2
675,Apartment,Under Construction,1585 ,"5,565 / sq ft",Krishnarajapura,Bangalore,Sree Sai Builders,2,88.2
676,Apartment,Under Construction,1190 ,"5,565 / sq ft",Krishnarajapura,Bangalore,Sree Sai Builders,2,66.22
677,Apartment,Under Construction,1135 ,"5,565 / sq ft",Krishnarajapura,Bangalore,Sree Sai Builders,2,63.16
678,Apartment,Under Construction,1200 ,"5,565 / sq ft",Krishnarajapura,Bangalore,Sree Sai Builders,2,66.78
679,Apartment,Under Construction,1400 ,"3,215 / sq ft",Sompura,Bangalore,Trishul Builders And Promoters,3,45.01
680,Apartment,Under Construction,1475 ,"4,500 / sq ft",Sarjapur,Bangalore,sellerVERIFIED OWNER,3,66.37
681,Apartment,Under Construction,1320 ,"4,500 / sq ft",Sarjapur,Bangalore,sellerVERIFIED OWNER,3,59.4
682,Apartment,Under Construction,1115 ,"4,500 / sq ft",Sarjapur,Bangalore,sellerVERIFIED OWNER,2,50.17
683,Apartment,Under Construction,1125 ,"4,500 / sq ft",Sarjapur,Bangalore,sellerVERIFIED OWNER,2,50.62
684,Apartment,Under Construction,1325 ,"4,500 / sq ft",Sarjapur,Bangalore,sellerVERIFIED OWNER,3,59.62
685,Apartment,Under Construction,1025 ,"4,500 / sq ft",Sarjapur,Bangalore,sellerVERIFIED OWNER,2,46.12
686,Apartment,Under Construction,1430 ,"4,500 / sq ft",Sarjapur,Bangalore,sellerVERIFIED OWNER,3,64.35
687,Apartment,Under Construction,1335 ,"4,500 / sq ft",Sarjapur,Bangalore,sellerVERIFIED OWNER,3,60.07
688,Apartment,Under Construction,1100 ,"4,500 / sq ft",Sarjapur,Bangalore,sellerVERIFIED OWNER,2,49.5
689,Apartment,Under Construction,1039 ,"5,352 / sq ft",Varthur,Bangalore,Anuraag Constructions,2,55.61
690,Apartment,Ready to move,1270 ,"5,496 / sq ft",Uttarahalli,Bangalore,Vara Constructions,2,69.81
691,Apartment,Ready to move,1500 ,"5,466 / sq ft",Uttarahalli,Bangalore,Vara Constructions,3,82.0
692,Apartment,Under Construction,1174 ,"6,554 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,DSR Infrastructure Pvt Ltd,2,76.95
693,Apartment,Under Construction,878 ,"6,640 / sq ft",Chikkanayakanahalli at Off Sarjapur,Bangalore,DSR Infrastructure Pvt Ltd,2,58.3
694,Apartment,Under Construction,1032 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,2,30.96
695,Apartment,Under Construction,951 ,"3,000 / sq ft",Electronic City Phase 1,Bangalore,DS-MAX Properties,2,28.53
